metric_group,metric_name,label,n,accuracy,precision,recall,f1,TP,TN,FP,FN,run_id,strategy,provider,model_family,model_name,prompt_version,dataset_version,prediction_source
document,standardized,standardized,3500,0.9409,0.993,0.6762,0.8045,426,2867,3,204,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
document,sweep1_strong,sweep1_strong,3500,0.9409,0.993,0.6762,0.8045,426,2867,3,204,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
document,sweep1_any,sweep1_any,3500,0.9703,0.8715,0.9794,0.9223,617,2779,91,13,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
entity,PERSON,entity_PERSON,3500,0.976,0.8767,0.9813,0.9261,526,2890,74,10,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
entity,EMAIL_ADDRESS,entity_EMAIL_ADDRESS,3500,1.0,1.0,1.0,1.0,75,3425,0,0,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
entity,PHONE_NUMBER,entity_PHONE_NUMBER,3500,0.9986,0.95,0.9661,0.958,57,3438,3,2,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
entity,LOCATION,entity_LOCATION,3500,0.8543,0.0511,0.75,0.0957,27,2963,501,9,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
entity,IBAN_CODE,entity_IBAN_CODE,3500,1.0,1.0,1.0,1.0,60,3440,0,0,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
entity,CREDIT_CARD,entity_CREDIT_CARD,3500,0.9997,0.9836,1.0,0.9917,60,3439,1,0,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
entity,PASSPORT,entity_PASSPORT,3500,1.0,1.0,1.0,1.0,62,3438,0,0,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
entity,NRP,entity_NRP,3500,0.9926,0.6667,1.0,0.8,52,3422,26,0,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
entity,DATE_TIME,entity_DATE_TIME,3500,0.8314,0.0858,0.9322,0.1571,55,2855,586,4,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
entity,IP_ADDRESS,entity_IP_ADDRESS,3500,1.0,1.0,1.0,1.0,60,3440,0,0,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
entity,URL,entity_URL,3500,0.9734,0.2439,1.0,0.3922,30,3377,93,0,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
entity,MEDICAL_LICENSE,entity_MEDICAL_LICENSE,3500,0.998,0.8939,1.0,0.944,59,3434,7,0,20260904_170911,rule_based,local,rules,regex_presidio_fusion_v1,not_applicable,v2,rules
