metric_group,metric_name,label,n,accuracy,precision,recall,f1,TP,TN,FP,FN,run_id,strategy,provider,model_family,model_name,prompt_version,dataset_version,prediction_source
document,standardized,standardized,500,0.86,0.4576,0.9,0.6067,54,376,64,6,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
document,sweep1_strong,sweep1_strong,500,0.814,0.3263,0.5167,0.4,31,376,64,29,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
document,sweep1_any,sweep1_any,500,0.756,0.3258,0.9667,0.4874,58,320,120,2,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
document,sweep2_llm,sweep2_llm,83,0.9518,1.0,0.8519,0.92,23,56,0,4,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
document,final,final,500,0.86,0.4576,0.9,0.6067,54,376,64,6,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
entity,PERSON,entity_PERSON,500,0.846,0.2804,1.0,0.438,30,393,77,0,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
entity,EMAIL_ADDRESS,entity_EMAIL_ADDRESS,500,0.842,0.1412,0.6667,0.233,12,409,73,6,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
entity,PHONE_NUMBER,entity_PHONE_NUMBER,500,0.982,0.6667,0.5,0.5714,6,485,3,6,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
entity,LOCATION,entity_LOCATION,500,0.858,0.1744,1.0,0.297,15,414,71,0,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
entity,IBAN_CODE,entity_IBAN_CODE,500,0.994,0.0,0.0,0.0,0,497,0,3,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
entity,CREDIT_CARD,entity_CREDIT_CARD,500,0.988,0.3333,1.0,0.5,3,491,6,0,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
entity,PASSPORT,entity_PASSPORT,500,0.988,0.0,0.0,0.0,0,494,0,6,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
entity,NRP,entity_NRP,500,0.976,0.0,0.0,0.0,0,488,0,12,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
entity,DATE_TIME,entity_DATE_TIME,500,0.798,0.0818,1.0,0.1513,9,390,101,0,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
entity,IP_ADDRESS,entity_IP_ADDRESS,500,1.0,1.0,1.0,1.0,3,497,0,0,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
entity,URL,entity_URL,500,0.976,0.2,1.0,0.3333,3,485,12,0,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
entity,MEDICAL_LICENSE,entity_MEDICAL_LICENSE,500,1.0,1.0,1.0,1.0,6,494,0,0,20260908_105246,rule_plus_ollama,ollama,llm,qwen2.5,pii_review_v1,v1,llm
