scenario_type,error_type,count
contract,false_negative,18
contract,true_negative,212
contract,true_positive,20
customer_support,false_negative,11
customer_support,true_negative,195
customer_support,true_positive,44
employee_record,false_negative,17
employee_record,true_negative,191
employee_record,true_positive,42
expense_report,false_negative,6
expense_report,true_negative,212
expense_report,true_positive,32
general_document,false_negative,5
general_document,true_negative,217
general_document,true_positive,28
incident_report,false_negative,24
incident_report,true_negative,216
incident_report,true_positive,10
internal_email,false_negative,6
internal_email,true_negative,196
internal_email,true_positive,48
invoice,false_negative,6
invoice,true_negative,201
invoice,true_positive,43
it_access_request,false_negative,16
it_access_request,true_negative,214
it_access_request,true_positive,20
medical_record,false_negative,23
medical_record,true_negative,205
medical_record,true_positive,22
meeting_notes,false_negative,23
meeting_notes,true_negative,220
meeting_notes,true_positive,7
passport_record,false_negative,7
passport_record,true_negative,191
passport_record,true_positive,52
supplier_onboarding,false_negative,4
supplier_onboarding,true_negative,195
supplier_onboarding,true_positive,51
training_evaluation,false_negative,37
training_evaluation,true_negative,205
training_evaluation,true_positive,8
