recall_target,feasible,t_low,t_high,routed_fraction,llm_call_reduction,prefilter_recall,auto_yes_precision,missed_positives,oracle_f1,conservative_precision,conservative_f1
0.8,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.81,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.82,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.83,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.84,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.85,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.86,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.87,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.88,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.89,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.9,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.91,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.92,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.93,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.94,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.95,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.96,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.97,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.98,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
0.99,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
1.0,True,0.05,0.05,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0
