document_type,n,positives,correct,false_positives,false_negatives,missed_positives,unreviewed_fp,routed,mean_probability,accuracy,routing_rate,recall
form,60,8,60,0,0,0,0,0,0.1336,1.0,0.0,1.0
contract,15,2,15,0,0,0,0,0,0.134,1.0,0.0,1.0
email,15,2,15,0,0,0,0,0,0.1335,1.0,0.0,1.0
general_document,15,2,14,0,1,1,0,0,0.0676,0.9333,0.0,0.5
hr_record,15,2,15,0,0,0,0,0,0.1341,1.0,0.0,1.0
identity_record,15,2,15,0,0,0,0,0,0.1331,1.0,0.0,1.0
invoice,15,2,15,0,0,0,0,0,0.1339,1.0,0.0,1.0
medical_record,15,2,15,0,0,0,0,0,0.1342,1.0,0.0,1.0
meeting_notes,15,2,14,1,0,0,1,0,0.1343,0.9333,0.0,1.0
report,15,2,15,0,0,0,0,0,0.1338,1.0,0.0,1.0
support_ticket,15,2,15,0,0,0,0,0,0.1336,1.0,0.0,1.0
